entity,occurrence_count,books,categories,sample_lines
Exposure Protocols,1,3,proper_noun_phrase,B3:1728
Safety Analysis,1,3,proper_noun_phrase,B3:1728
The Hollander,1,3,proper_noun_phrase,B3:1734
The Kline,1,3,proper_noun_phrase,B3:1737
The Vance,1,3,proper_noun_phrase,B3:1739
Institutional Capture,1,3,proper_noun_phrase,B3:1743
James Strand,1,3,proper_noun_phrase,B3:1755
Eleanor Whitman,1,3,proper_noun_phrase,B3:1771
45 CFR,1,3,address,B3:1791
Aaron Levy,1,3,proper_noun_phrase,B3:1813
The Sisters,1,3,proper_noun_phrase,B3:1832
Tell Blake,1,3,proper_noun_phrase,B3:1864
The Acoustic Gospel,1,3,proper_noun_phrase,B3:1982
Delayed Disclosure,1,3,proper_noun_phrase,B3:1983
Colonel David Reese,1,3,proper_noun_phrase,B3:2058
Technology Directorate,1,3,proper_noun_phrase,B3:2059
The Lancet,1,3,proper_noun_phrase,B3:2071
The Department,1,3,proper_noun_phrase,B3:2075
Colonel Reese,1,3,proper_noun_phrase,B3:2136
Use Research,1,3,proper_noun_phrase,B3:2141
Great Plains,1,3,proper_noun_phrase,B3:2188
00 AM,1,3,address,B3:2473
Lin Chen,1,3,proper_noun_phrase,B3:2497
Tomoko Ando,1,3,proper_noun_phrase,B3:2498
Block Three,1,3,proper_noun_phrase,B3:2502
Week Thirty,1,3,proper_noun_phrase,B3:2531
Hour One,1,3,proper_noun_phrase,B3:2558
By Hour Eight,1,3,proper_noun_phrase,B3:2594
Block Two,1,3,proper_noun_phrase,B3:2694
55 AM,1,3,address,B3:2739
Focus Level,1,3,proper_noun_phrase,B3:2760
The Focus Level,1,3,proper_noun_phrase,B3:2765
Then Yuki,1,3,proper_noun_phrase,B3:2783
